Phrase_FR,Phrase_EN,Topic
Je dois saisir l'avoir dans le logiciel.,I must enter the credit note in the software.,ACCOUNTING
L'écriture n'est pas justifiée dans le grand livre.,The entry is not justified in the general ledger.,ACCOUNTING
Il faut régulariser les écritures de clôture avant la clôture.,Must regularize closing entries before closing.,ACCOUNTING
Il manque l'avoir selon les normes.,Missing the credit note according to standards.,ACCOUNTING
La TVA est incorrecte sur l'exercice N.,The VAT is incorrect on year N.,ACCOUNTING
Je dois saisir les écritures de clôture dans le logiciel.,I must enter closing entries in the software.,ACCOUNTING
On doit amortir les écritures de clôture dans le logiciel.,We must depreciate closing entries in the software.,ACCOUNTING
Il faut régulariser la facture fournisseur avant la clôture.,Must regularize the supplier invoice before closing.,ACCOUNTING
Il manque l'avoir dans le logiciel.,Missing the credit note in the software.,ACCOUNTING
Je dois saisir les écritures de clôture avant la clôture.,I must enter closing entries before closing.,ACCOUNTING
La balance ne s'équilibre pas sur l'exercice N.,The balance does not balance on year N.,ACCOUNTING
L'écriture est incorrecte dans le grand livre.,The entry is incorrect in the general ledger.,ACCOUNTING
Il faut régulariser l'avoir avant la clôture.,Must regularize the credit note before closing.,ACCOUNTING
Je dois saisir les amortissements avant la clôture.,I must enter depreciations before closing.,ACCOUNTING
La balance ne s'équilibre pas dans le grand livre.,The balance does not balance in the general ledger.,ACCOUNTING
Je dois saisir les amortissements selon les normes.,I must enter depreciations according to standards.,ACCOUNTING
Il manque l'avoir avant la clôture.,Missing the credit note before closing.,ACCOUNTING
Je dois saisir l'avoir selon les normes.,I must enter the credit note according to standards.,ACCOUNTING
Je dois saisir la facture fournisseur selon les normes.,I must enter the supplier invoice according to standards.,ACCOUNTING
La provision n'est pas justifiée pour ce mois.,The provision is not justified for this month.,ACCOUNTING
On doit amortir l'avoir selon les normes.,We must depreciate the credit note according to standards.,ACCOUNTING
L'écriture n'est pas justifiée sur l'exercice N.,The entry is not justified on year N.,ACCOUNTING
La TVA est incorrecte pour ce mois.,The VAT is incorrect for this month.,ACCOUNTING
Il faut régulariser la facture fournisseur dans le logiciel.,Must regularize the supplier invoice in the software.,ACCOUNTING
Le bilan est fausse sur l'exercice N.,The balance sheet is wrong on year N.,ACCOUNTING
Il manque les amortissements selon les normes.,Missing depreciations according to standards.,ACCOUNTING
La provision est fausse pour ce mois.,The provision is wrong for this month.,ACCOUNTING
Le bilan est fausse dans le grand livre.,The balance sheet is wrong in the general ledger.,ACCOUNTING
Je dois saisir l'avoir avant la clôture.,I must enter the credit note before closing.,ACCOUNTING
L'écriture ne s'équilibre pas sur l'exercice N.,The entry does not balance on year N.,ACCOUNTING
Il faut régulariser l'avoir dans le logiciel.,Must regularize the credit note in the software.,ACCOUNTING
La provision ne s'équilibre pas sur l'exercice N.,The provision does not balance on year N.,ACCOUNTING
L'écriture ne s'équilibre pas pour ce mois.,The entry does not balance for this month.,ACCOUNTING
On doit amortir la facture fournisseur dans le logiciel.,We must depreciate the supplier invoice in the software.,ACCOUNTING
La provision n'est pas justifiée sur l'exercice N.,The provision is not justified on year N.,ACCOUNTING
La balance n'est pas justifiée pour ce mois.,The balance is not justified for this month.,ACCOUNTING
La balance est fausse pour ce mois.,The balance is wrong for this month.,ACCOUNTING
La TVA ne s'équilibre pas sur l'exercice N.,The VAT does not balance on year N.,ACCOUNTING
Il manque les écritures de clôture dans le logiciel.,Missing closing entries in the software.,ACCOUNTING
La provision ne s'équilibre pas dans le grand livre.,The provision does not balance in the general ledger.,ACCOUNTING
Il faut régulariser les amortissements selon les normes.,Must regularize depreciations according to standards.,ACCOUNTING
Je dois saisir la facture fournisseur avant la clôture.,I must enter the supplier invoice before closing.,ACCOUNTING
Le bilan ne s'équilibre pas sur l'exercice N.,The balance sheet does not balance on year N.,ACCOUNTING
La balance n'est pas justifiée sur l'exercice N.,The balance is not justified on year N.,ACCOUNTING
La TVA ne s'équilibre pas dans le grand livre.,The VAT does not balance in the general ledger.,ACCOUNTING
L'écriture est fausse sur l'exercice N.,The entry is wrong on year N.,ACCOUNTING
La TVA n'est pas justifiée sur l'exercice N.,The VAT is not justified on year N.,ACCOUNTING
Il faut régulariser la facture fournisseur selon les normes.,Must regularize the supplier invoice according to standards.,ACCOUNTING
On doit amortir les amortissements selon les normes.,We must depreciate depreciations according to standards.,ACCOUNTING
La TVA est incorrecte dans le grand livre.,The VAT is incorrect in the general ledger.,ACCOUNTING
Le bilan est incorrecte pour ce mois.,The balance sheet is incorrect for this month.,ACCOUNTING
Le bilan est incorrecte sur l'exercice N.,The balance sheet is incorrect on year N.,ACCOUNTING
L'écriture est fausse pour ce mois.,The entry is wrong for this month.,ACCOUNTING
On doit amortir l'avoir avant la clôture.,We must depreciate the credit note before closing.,ACCOUNTING
La TVA n'est pas justifiée dans le grand livre.,The VAT is not justified in the general ledger.,ACCOUNTING
La TVA ne s'équilibre pas pour ce mois.,The VAT does not balance for this month.,ACCOUNTING
Il manque la facture fournisseur selon les normes.,Missing the supplier invoice according to standards.,ACCOUNTING
L'écriture est incorrecte sur l'exercice N.,The entry is incorrect on year N.,ACCOUNTING
Il manque les écritures de clôture avant la clôture.,Missing closing entries before closing.,ACCOUNTING
La TVA est fausse pour ce mois.,The VAT is wrong for this month.,ACCOUNTING
La provision ne s'équilibre pas pour ce mois.,The provision does not balance for this month.,ACCOUNTING
La balance est fausse sur l'exercice N.,The balance is wrong on year N.,ACCOUNTING
La TVA est fausse sur l'exercice N.,The VAT is wrong on year N.,ACCOUNTING
Il faut régulariser les amortissements avant la clôture.,Must regularize depreciations before closing.,ACCOUNTING
Je dois saisir les amortissements dans le logiciel.,I must enter depreciations in the software.,ACCOUNTING
On doit amortir les écritures de clôture avant la clôture.,We must depreciate closing entries before closing.,ACCOUNTING
La balance est incorrecte sur l'exercice N.,The balance is incorrect on year N.,ACCOUNTING
La balance est incorrecte pour ce mois.,The balance is incorrect for this month.,ACCOUNTING
Je dois saisir les écritures de clôture selon les normes.,I must enter closing entries according to standards.,ACCOUNTING
Il faut régulariser l'avoir selon les normes.,Must regularize the credit note according to standards.,ACCOUNTING
On doit amortir les écritures de clôture selon les normes.,We must depreciate closing entries according to standards.,ACCOUNTING
La provision est fausse sur l'exercice N.,The provision is wrong on year N.,ACCOUNTING
Le bilan est incorrecte dans le grand livre.,The balance sheet is incorrect in the general ledger.,ACCOUNTING
La provision est incorrecte sur l'exercice N.,The provision is incorrect on year N.,ACCOUNTING
L'écriture est fausse dans le grand livre.,The entry is wrong in the general ledger.,ACCOUNTING
La balance ne s'équilibre pas pour ce mois.,The balance does not balance for this month.,ACCOUNTING
Il manque les amortissements dans le logiciel.,Missing depreciations in the software.,ACCOUNTING
Le bilan ne s'équilibre pas dans le grand livre.,The balance sheet does not balance in the general ledger.,ACCOUNTING
Le bilan est fausse pour ce mois.,The balance sheet is wrong for this month.,ACCOUNTING
La provision est incorrecte dans le grand livre.,The provision is incorrect in the general ledger.,ACCOUNTING
L'écriture n'est pas justifiée pour ce mois.,The entry is not justified for this month.,ACCOUNTING
Il faut régulariser les amortissements dans le logiciel.,Must regularize depreciations in the software.,ACCOUNTING
Je dois saisir la facture fournisseur dans le logiciel.,I must enter the supplier invoice in the software.,ACCOUNTING
On doit amortir l'avoir dans le logiciel.,We must depreciate the credit note in the software.,ACCOUNTING
Le bilan n'est pas justifiée sur l'exercice N.,The balance sheet is not justified on year N.,ACCOUNTING
Il manque les écritures de clôture selon les normes.,Missing closing entries according to standards.,ACCOUNTING
La TVA est fausse dans le grand livre.,The VAT is wrong in the general ledger.,ACCOUNTING
Il manque la facture fournisseur avant la clôture.,Missing the supplier invoice before closing.,ACCOUNTING
Il faut régulariser les écritures de clôture dans le logiciel.,Must regularize closing entries in the software.,ACCOUNTING
La TVA n'est pas justifiée pour ce mois.,The VAT is not justified for this month.,ACCOUNTING
La provision n'est pas justifiée dans le grand livre.,The provision is not justified in the general ledger.,ACCOUNTING
Le bilan n'est pas justifiée pour ce mois.,The balance sheet is not justified for this month.,ACCOUNTING
L'écriture est incorrecte pour ce mois.,The entry is incorrect for this month.,ACCOUNTING
Le bilan n'est pas justifiée dans le grand livre.,The balance sheet is not justified in the general ledger.,ACCOUNTING
Le bilan ne s'équilibre pas pour ce mois.,The balance sheet does not balance for this month.,ACCOUNTING
La balance est incorrecte dans le grand livre.,The balance is incorrect in the general ledger.,ACCOUNTING
Il manque les amortissements avant la clôture.,Missing depreciations before closing.,ACCOUNTING
On doit amortir les amortissements dans le logiciel.,We must depreciate depreciations in the software.,ACCOUNTING
On doit amortir les amortissements avant la clôture.,We must depreciate depreciations before closing.,ACCOUNTING
Il faut régulariser les écritures de clôture selon les normes.,Must regularize closing entries according to standards.,ACCOUNTING
La provision est incorrecte pour ce mois.,The provision is incorrect for this month.,ACCOUNTING
On doit amortir la facture fournisseur selon les normes.,We must depreciate the supplier invoice according to standards.,ACCOUNTING
La balance n'est pas justifiée dans le grand livre.,The balance is not justified in the general ledger.,ACCOUNTING
On doit amortir la facture fournisseur avant la clôture.,We must depreciate the supplier invoice before closing.,ACCOUNTING
La balance est fausse dans le grand livre.,The balance is wrong in the general ledger.,ACCOUNTING
La provision est fausse dans le grand livre.,The provision is wrong in the general ledger.,ACCOUNTING
Il manque la facture fournisseur dans le logiciel.,Missing the supplier invoice in the software.,ACCOUNTING
L'écriture ne s'équilibre pas dans le grand livre.,The entry does not balance in the general ledger.,ACCOUNTING
Le solde a été refusé.,The balance was declined.,BANKING
Augmente le paiement je suis à découvert.,Increase the payment I am overdrawn.,BANKING
Bloque le virement le code est faux.,Block the transfer wrong code.,BANKING
Bloque le plafond je suis à découvert.,Block the limit I am overdrawn.,BANKING
Le terminal a été refusé.,The terminal was declined.,BANKING
Annule le prélèvement le code est faux.,Cancel the direct debit wrong code.,BANKING
Le terminal est insuffisant.,The terminal is insufficient.,BANKING
Le paiement est bloqué.,The payment is blocked.,BANKING
Le solde est bloqué.,The balance is blocked.,BANKING
Mon compte a été refusé.,My account was declined.,BANKING
Le solde est insuffisant.,The balance is insufficient.,BANKING
Le paiement est insuffisant.,The payment is insufficient.,BANKING
Mon compte ne passe pas.,My account does not go through.,BANKING
Mon compte est bloqué.,My account is blocked.,BANKING
Augmente le prélèvement c'est une fraude.,Increase the direct debit it is a fraud.,BANKING
Refuse le plafond je suis à découvert.,Decline the limit I am overdrawn.,BANKING
Le terminal est bloqué.,The terminal is blocked.,BANKING
Le solde ne passe pas.,The balance does not go through.,BANKING
Le paiement a été refusé.,The payment was declined.,BANKING
Bloque le virement c'est une fraude.,Block the transfer it is a fraud.,BANKING
Valide le virement le code est faux.,Validate the transfer wrong code.,BANKING
Le paiement ne passe pas.,The payment does not go through.,BANKING
Augmente le prélèvement je suis à découvert.,Increase the direct debit I am overdrawn.,BANKING
Valide le virement tout de suite.,Validate the transfer immediately.,BANKING
Augmente le plafond je suis à découvert.,Increase the limit I am overdrawn.,BANKING
Mon compte est insuffisant.,My account is insufficient.,BANKING
Le terminal ne passe pas.,The terminal does not go through.,BANKING
Refuse le paiement je suis à découvert.,Decline the payment I am overdrawn.,BANKING
Valide ma carte tout de suite.,Validate my card immediately.,BANKING
Annule le virement le code est faux.,Cancel the transfer wrong code.,BANKING
Valide le plafond le code est faux.,Validate the limit wrong code.,BANKING
Oppose le prélèvement tout de suite.,Stop the direct debit immediately.,BANKING
Augmente le paiement c'est une fraude.,Increase the payment it is a fraud.,BANKING
Oppose le paiement je suis à découvert.,Stop the payment I am overdrawn.,BANKING
Bloque le prélèvement tout de suite.,Block the direct debit immediately.,BANKING
Augmente le prélèvement tout de suite.,Increase the direct debit immediately.,BANKING
Refuse le plafond c'est une fraude.,Decline the limit it is a fraud.,BANKING
Augmente le paiement tout de suite.,Increase the payment immediately.,BANKING
Augmente le paiement le code est faux.,Increase the payment wrong code.,BANKING
Refuse ma carte tout de suite.,Decline my card immediately.,BANKING
Bloque le paiement le code est faux.,Block the payment wrong code.,BANKING
Annule le virement je suis à découvert.,Cancel the transfer I am overdrawn.,BANKING
Bloque ma carte tout de suite.,Block my card immediately.,BANKING
Refuse le paiement tout de suite.,Decline the payment immediately.,BANKING
Annule ma carte tout de suite.,Cancel my card immediately.,BANKING
Valide le paiement le code est faux.,Validate the payment wrong code.,BANKING
Bloque ma carte c'est une fraude.,Block my card it is a fraud.,BANKING
Refuse le plafond tout de suite.,Decline the limit immediately.,BANKING
Augmente le plafond c'est une fraude.,Increase the limit it is a fraud.,BANKING
Augmente ma carte je suis à découvert.,Increase my card I am overdrawn.,BANKING
Oppose le plafond tout de suite.,Stop the limit immediately.,BANKING
Annule le paiement tout de suite.,Cancel the payment immediately.,BANKING
Refuse ma carte je suis à découvert.,Decline my card I am overdrawn.,BANKING
Augmente ma carte c'est une fraude.,Increase my card it is a fraud.,BANKING
Augmente le plafond tout de suite.,Increase the limit immediately.,BANKING
Bloque le plafond tout de suite.,Block the limit immediately.,BANKING
Refuse le prélèvement le code est faux.,Decline the direct debit wrong code.,BANKING
Annule ma carte le code est faux.,Cancel my card wrong code.,BANKING
Bloque le paiement tout de suite.,Block the payment immediately.,BANKING
Annule le virement c'est une fraude.,Cancel the transfer it is a fraud.,BANKING
Bloque le plafond le code est faux.,Block the limit wrong code.,BANKING
Refuse le virement c'est une fraude.,Decline the transfer it is a fraud.,BANKING
Bloque le plafond c'est une fraude.,Block the limit it is a fraud.,BANKING
Annule le prélèvement tout de suite.,Cancel the direct debit immediately.,BANKING
Valide le virement c'est une fraude.,Validate the transfer it is a fraud.,BANKING
Refuse ma carte le code est faux.,Decline my card wrong code.,BANKING
Augmente le prélèvement le code est faux.,Increase the direct debit wrong code.,BANKING
Annule le prélèvement c'est une fraude.,Cancel the direct debit it is a fraud.,BANKING
Annule le virement tout de suite.,Cancel the transfer immediately.,BANKING
Augmente le virement le code est faux.,Increase the transfer wrong code.,BANKING
Annule le plafond tout de suite.,Cancel the limit immediately.,BANKING
Valide le plafond c'est une fraude.,Validate the limit it is a fraud.,BANKING
Refuse le prélèvement c'est une fraude.,Decline the direct debit it is a fraud.,BANKING
Oppose le prélèvement je suis à découvert.,Stop the direct debit I am overdrawn.,BANKING
Valide le prélèvement le code est faux.,Validate the direct debit wrong code.,BANKING
Bloque le virement tout de suite.,Block the transfer immediately.,BANKING
Annule le paiement je suis à découvert.,Cancel the payment I am overdrawn.,BANKING
Valide le plafond je suis à découvert.,Validate the limit I am overdrawn.,BANKING
Valide ma carte le code est faux.,Validate my card wrong code.,BANKING
Bloque le virement je suis à découvert.,Block the transfer I am overdrawn.,BANKING
Refuse le virement je suis à découvert.,Decline the transfer I am overdrawn.,BANKING
Augmente le virement tout de suite.,Increase the transfer immediately.,BANKING
Refuse le paiement le code est faux.,Decline the payment wrong code.,BANKING
Oppose le plafond c'est une fraude.,Stop the limit it is a fraud.,BANKING
Bloque le prélèvement le code est faux.,Block the direct debit wrong code.,BANKING
Refuse le virement le code est faux.,Decline the transfer wrong code.,BANKING
Oppose le virement je suis à découvert.,Stop the transfer I am overdrawn.,BANKING
Bloque le prélèvement c'est une fraude.,Block the direct debit it is a fraud.,BANKING
Annule le paiement c'est une fraude.,Cancel the payment it is a fraud.,BANKING
Oppose ma carte tout de suite.,Stop my card immediately.,BANKING
Oppose le virement le code est faux.,Stop the transfer wrong code.,BANKING
Augmente le virement c'est une fraude.,Increase the transfer it is a fraud.,BANKING
Oppose le prélèvement c'est une fraude.,Stop the direct debit it is a fraud.,BANKING
Oppose le paiement c'est une fraude.,Stop the payment it is a fraud.,BANKING
Oppose le virement c'est une fraude.,Stop the transfer it is a fraud.,BANKING
Annule ma carte je suis à découvert.,Cancel my card I am overdrawn.,BANKING
Refuse ma carte c'est une fraude.,Decline my card it is a fraud.,BANKING
Bloque ma carte je suis à découvert.,Block my card I am overdrawn.,BANKING
Bloque ma carte le code est faux.,Block my card wrong code.,BANKING
Valide ma carte je suis à découvert.,Validate my card I am overdrawn.,BANKING
Valide le prélèvement je suis à découvert.,Validate the direct debit I am overdrawn.,BANKING
Valide le plafond tout de suite.,Validate the limit immediately.,BANKING
Annule le prélèvement je suis à découvert.,Cancel the direct debit I am overdrawn.,BANKING
Oppose le virement tout de suite.,Stop the transfer immediately.,BANKING
Annule le plafond je suis à découvert.,Cancel the limit I am overdrawn.,BANKING
Augmente ma carte le code est faux.,Increase my card wrong code.,BANKING
Bloque le prélèvement je suis à découvert.,Block the direct debit I am overdrawn.,BANKING
Refuse le paiement c'est une fraude.,Decline the payment it is a fraud.,BANKING
Refuse le prélèvement je suis à découvert.,Decline the direct debit I am overdrawn.,BANKING
Bloque le paiement je suis à découvert.,Block the payment I am overdrawn.,BANKING
Augmente ma carte tout de suite.,Increase my card immediately.,BANKING
Oppose ma carte je suis à découvert.,Stop my card I am overdrawn.,BANKING
Valide le paiement tout de suite.,Validate the payment immediately.,BANKING
Valide le prélèvement tout de suite.,Validate the direct debit immediately.,BANKING
Valide le prélèvement c'est une fraude.,Validate the direct debit it is a fraud.,BANKING
Bloque le paiement c'est une fraude.,Block the payment it is a fraud.,BANKING
Oppose le prélèvement le code est faux.,Stop the direct debit wrong code.,BANKING
Oppose ma carte le code est faux.,Stop my card wrong code.,BANKING
Valide le paiement je suis à découvert.,Validate the payment I am overdrawn.,BANKING
Oppose le paiement le code est faux.,Stop the payment wrong code.,BANKING
Oppose le paiement tout de suite.,Stop the payment immediately.,BANKING
Annule le plafond le code est faux.,Cancel the limit wrong code.,BANKING
Annule le plafond c'est une fraude.,Cancel the limit it is a fraud.,BANKING
Refuse le virement tout de suite.,Decline the transfer immediately.,BANKING
Annule le paiement le code est faux.,Cancel the payment wrong code.,BANKING
Valide le virement je suis à découvert.,Validate the transfer I am overdrawn.,BANKING
Valide ma carte c'est une fraude.,Validate my card it is a fraud.,BANKING
Refuse le prélèvement tout de suite.,Decline the direct debit immediately.,BANKING
Augmente le virement je suis à découvert.,Increase the transfer I am overdrawn.,BANKING
Oppose le plafond le code est faux.,Stop the limit wrong code.,BANKING
Annule ma carte c'est une fraude.,Cancel my card it is a fraud.,BANKING
Augmente le plafond le code est faux.,Increase the limit wrong code.,BANKING
Le contrat est envoyé pour le closing.,The contract is sent for the closing.,BUSINESS
Le prospect nécessite une validation avec la clause de sortie.,The prospect needs validation with the exit clause.,BUSINESS
L'appel d'offres hésite encore pour le closing.,The tender is still hesitating for the closing.,BUSINESS
Le prospect veut signer pour le closing.,The prospect wants to sign for the closing.,BUSINESS
Le prospect veut signer pour augmenter la marge.,The prospect wants to sign to increase margin.,BUSINESS
Le client hésite encore pour le closing.,The client is still hesitating for the closing.,BUSINESS
Le contrat nécessite une validation avec la clause de sortie.,The contract needs validation with the exit clause.,BUSINESS
L'appel d'offres est envoyé avec la clause de sortie.,The tender is sent with the exit clause.,BUSINESS
Le prospect est envoyé pour augmenter la marge.,The prospect is sent to increase margin.,BUSINESS
Le contrat nécessite une validation pour le closing.,The contract needs validation for the closing.,BUSINESS
Le contrat nécessite une validation pour augmenter la marge.,The contract needs validation to increase margin.,BUSINESS
L'appel d'offres veut signer pour augmenter la marge.,The tender wants to sign to increase margin.,BUSINESS
Le client nécessite une validation pour le closing.,The client needs validation for the closing.,BUSINESS
L'appel d'offres nécessite une validation pour augmenter la marge.,The tender needs validation to increase margin.,BUSINESS
L'appel d'offres est gagné avant demain.,The tender is won before tomorrow.,BUSINESS
Le contrat veut signer pour le closing.,The contract wants to sign for the closing.,BUSINESS
Le contrat est gagné avant demain.,The contract is won before tomorrow.,BUSINESS
Le contrat nécessite une validation avant demain.,The contract needs validation before tomorrow.,BUSINESS
L'appel d'offres veut signer avec la clause de sortie.,The tender wants to sign with the exit clause.,BUSINESS
L'appel d'offres hésite encore avant demain.,The tender is still hesitating before tomorrow.,BUSINESS
Le contrat veut signer pour augmenter la marge.,The contract wants to sign to increase margin.,BUSINESS
L'appel d'offres est envoyé avant demain.,The tender is sent before tomorrow.,BUSINESS
Le prospect hésite encore pour augmenter la marge.,The prospect is still hesitating to increase margin.,BUSINESS
Le client hésite encore avec la clause de sortie.,The client is still hesitating with the exit clause.,BUSINESS
Le prospect hésite encore avec la clause de sortie.,The prospect is still hesitating with the exit clause.,BUSINESS
L'appel d'offres nécessite une validation avant demain.,The tender needs validation before tomorrow.,BUSINESS
Le prospect est gagné pour le closing.,The prospect is won for the closing.,BUSINESS
Le contrat hésite encore avec la clause de sortie.,The contract is still hesitating with the exit clause.,BUSINESS
L'appel d'offres est envoyé pour augmenter la marge.,The tender is sent to increase margin.,BUSINESS
L'appel d'offres nécessite une validation pour le closing.,The tender needs validation for the closing.,BUSINESS
L'appel d'offres est envoyé pour le closing.,The tender is sent for the closing.,BUSINESS
Le client est envoyé avec la clause de sortie.,The client is sent with the exit clause.,BUSINESS
L'appel d'offres hésite encore avec la clause de sortie.,The tender is still hesitating with the exit clause.,BUSINESS
Le contrat est gagné pour le closing.,The contract is won for the closing.,BUSINESS
Le client est gagné avant demain.,The client is won before tomorrow.,BUSINESS
Le client est envoyé pour augmenter la marge.,The client is sent to increase margin.,BUSINESS
Le prospect nécessite une validation pour le closing.,The prospect needs validation for the closing.,BUSINESS
Le contrat est envoyé avec la clause de sortie.,The contract is sent with the exit clause.,BUSINESS
Le client est envoyé pour le closing.,The client is sent for the closing.,BUSINESS
Le client hésite encore pour augmenter la marge.,The client is still hesitating to increase margin.,BUSINESS
Le client est gagné pour augmenter la marge.,The client is won to increase margin.,BUSINESS
Le client nécessite une validation avec la clause de sortie.,The client needs validation with the exit clause.,BUSINESS
L'appel d'offres hésite encore pour augmenter la marge.,The tender is still hesitating to increase margin.,BUSINESS
Le prospect est envoyé avec la clause de sortie.,The prospect is sent with the exit clause.,BUSINESS
Le prospect est envoyé pour le closing.,The prospect is sent for the closing.,BUSINESS
Le prospect est envoyé avant demain.,The prospect is sent before tomorrow.,BUSINESS
Le prospect est gagné avant demain.,The prospect is won before tomorrow.,BUSINESS
Le contrat hésite encore pour augmenter la marge.,The contract is still hesitating to increase margin.,BUSINESS
Le client veut signer pour le closing.,The client wants to sign for the closing.,BUSINESS
Le prospect veut signer avant demain.,The prospect wants to sign before tomorrow.,BUSINESS
Le prospect veut signer avec la clause de sortie.,The prospect wants to sign with the exit clause.,BUSINESS
Le contrat veut signer avec la clause de sortie.,The contract wants to sign with the exit clause.,BUSINESS
L'appel d'offres est gagné avec la clause de sortie.,The tender is won with the exit clause.,BUSINESS
Le client hésite encore avant demain.,The client is still hesitating before tomorrow.,BUSINESS
Le prospect nécessite une validation avant demain.,The prospect needs validation before tomorrow.,BUSINESS
L'appel d'offres veut signer pour le closing.,The tender wants to sign for the closing.,BUSINESS
Le client nécessite une validation avant demain.,The client needs validation before tomorrow.,BUSINESS
Le prospect est gagné pour augmenter la marge.,The prospect is won to increase margin.,BUSINESS
Le client nécessite une validation pour augmenter la marge.,The client needs validation to increase margin.,BUSINESS
Le client veut signer pour augmenter la marge.,The client wants to sign to increase margin.,BUSINESS
Le client est gagné pour le closing.,The client is won for the closing.,BUSINESS
Le contrat hésite encore pour le closing.,The contract is still hesitating for the closing.,BUSINESS
L'appel d'offres est gagné pour le closing.,The tender is won for the closing.,BUSINESS
Le contrat est gagné avec la clause de sortie.,The contract is won with the exit clause.,BUSINESS
Le prospect hésite encore avant demain.,The prospect is still hesitating before tomorrow.,BUSINESS
Le prospect nécessite une validation pour augmenter la marge.,The prospect needs validation to increase margin.,BUSINESS
Le client est envoyé avant demain.,The client is sent before tomorrow.,BUSINESS
L'appel d'offres nécessite une validation avec la clause de sortie.,The tender needs validation with the exit clause.,BUSINESS
Le contrat hésite encore avant demain.,The contract is still hesitating before tomorrow.,BUSINESS
Le client est gagné avec la clause de sortie.,The client is won with the exit clause.,BUSINESS
Le contrat est gagné pour augmenter la marge.,The contract is won to increase margin.,BUSINESS
Le client veut signer avec la clause de sortie.,The client wants to sign with the exit clause.,BUSINESS
L'appel d'offres veut signer avant demain.,The tender wants to sign before tomorrow.,BUSINESS
L'appel d'offres est gagné pour augmenter la marge.,The tender is won to increase margin.,BUSINESS
Le contrat veut signer avant demain.,The contract wants to sign before tomorrow.,BUSINESS
Le contrat est envoyé pour augmenter la marge.,The contract is sent to increase margin.,BUSINESS
Le prospect est gagné avec la clause de sortie.,The prospect is won with the exit clause.,BUSINESS
Le client veut signer avant demain.,The client wants to sign before tomorrow.,BUSINESS
Le contrat est envoyé avant demain.,The contract is sent before tomorrow.,BUSINESS
Le prospect hésite encore pour le closing.,The prospect is still hesitating for the closing.,BUSINESS
L'offre inclut des stocks options plus variable.,Offer includes stock options plus variable.,HR_HIRING
On propose des stocks options si tu signes.,We offer stock options if you sign.,HR_HIRING
